Experiment_ID,Cell_Line,Cell_Type,Synthesis_Method,Surface_Coating,Core_Size_nm,Zeta_Potential_mV,Concentration,Exposure_Time,Cell_Viability,ROS,LDH,Apoptosis,Hemolysis,Comet_Tail_Moment,Selectivity_Index,Toxicity_Score,IC50,Risk_Level,ISO_10993_Status
EXP-ZNO-000001,HEK293,Normal,Hydrothermal,Bare_ZnO,77.4,6.8,21.16,24,83.06,8.97,9.23,8.37,0.43,2.33,1.0,9.43,63.0,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000002,MCF-7,Cancer,Hydrothermal,Silica_Coated,64.4,7.8,0.75,72,99.77,0.0,0.0,0.0,0.1,1.0,2.6,0.13,25.02,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000003,Caco-2,Normal,Sol-Gel,Silica_Coated,18.7,7.5,7.04,6,97.12,0.0,5.86,1.88,0.1,1.65,1.0,2.25,81.23,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000004,MCF-7,Cancer,Chemical_Precipitation,PEG_Coated,60.4,-32.8,65.14,12,36.45,22.86,29.92,61.98,0.96,5.8,1.22,60.43,53.35,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000005,Caco-2,Normal,Green_Synthesis,PEG_Coated,46.1,-16.0,62.26,72,43.14,8.66,14.01,29.81,0.94,6.63,1.0,23.15,55.31,Low,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000006,HepG2,Cancer,Chemical_Precipitation,Chitosan_Coated,24.3,25.4,34.67,12,70.33,14.01,11.37,21.0,0.64,4.05,1.1,23.13,59.1,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000007,PBMCs,Normal,Sol-Gel,Bare_ZnO,24.6,14.9,50.56,24,57.19,42.14,25.95,25.37,1.35,4.11,1.0,30.15,58.0,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000008,HCT-116,Cancer,Chemical_Precipitation,Bare_ZnO,58.2,-20.8,100.67,72,9.94,100.0,97.32,92.39,15.0,18.0,3.24,100.0,20.04,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000009,Caco-2,Normal,Hydrothermal,Silica_Coated,48.3,26.8,14.22,48,82.31,8.05,8.34,7.8,0.1,2.32,1.0,10.48,41.19,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000010,HepG2,Cancer,Green_Synthesis,Chitosan_Coated,42.0,31.0,14.16,12,98.39,1.06,1.17,0.7,0.1,1.55,0.81,0.94,80.3,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000011,HeLa,Cancer,Hydrothermal,Bare_ZnO,63.8,0.2,2.35,24,98.68,0.0,0.0,1.73,0.1,1.51,1.38,0.74,47.25,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000012,PBMCs,Normal,Hydrothermal,Chitosan_Coated,73.3,-9.3,35.52,6,87.75,10.92,1.75,5.75,0.16,1.81,1.0,7.15,118.72,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000013,PBMCs,Normal,Hydrothermal,Chitosan_Coated,56.0,-19.1,36.76,12,80.56,8.77,6.3,10.41,0.1,2.3,1.0,10.45,93.14,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000014,Caco-2,Normal,Hydrothermal,PEG_Coated,56.3,-16.7,196.04,6,27.5,20.97,21.72,46.25,1.49,9.38,1.0,40.48,110.87,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000015,A549,Cancer,Hydrothermal,Silica_Coated,66.4,-29.1,6.67,6,100.0,0.52,0.0,2.62,0.56,1.66,1.0,0.48,64.82,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000016,HeLa,Cancer,Chemical_Precipitation,Bare_ZnO,44.3,17.1,45.17,48,38.78,51.58,56.19,47.51,2.86,6.94,2.0,56.46,32.48,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000017,Jurkat,Cancer,Green_Synthesis,Chitosan_Coated,49.8,-10.5,36.76,24,56.91,18.53,14.07,34.24,0.71,3.94,1.55,29.06,42.0,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000018,Jurkat,Cancer,Sol-Gel,Silica_Coated,91.2,-11.8,28.66,6,68.83,23.4,18.39,28.27,0.19,3.18,1.43,32.82,45.49,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000019,A549,Cancer,Hydrothermal,PEG_Coated,46.6,24.1,93.58,6,49.93,14.42,16.7,42.16,0.4,6.31,0.77,36.68,84.26,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000020,HEK293,Normal,Green_Synthesis,PEG_Coated,79.8,25.7,86.06,12,65.41,18.12,8.87,18.27,0.68,4.22,1.0,14.29,124.27,Low,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000021,Caco-2,Normal,Sol-Gel,Chitosan_Coated,61.3,-4.3,39.52,48,55.42,16.76,18.96,24.67,0.69,4.38,1.0,27.35,47.08,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000022,Caco-2,Normal,Green_Synthesis,Chitosan_Coated,82.4,-21.4,19.05,48,85.58,5.63,0.97,2.22,0.1,2.58,1.0,5.69,58.84,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000023,Primary_HDF,Normal,Green_Synthesis,PEG_Coated,70.1,-30.9,86.87,6,74.92,4.47,5.89,14.55,0.26,3.59,1.0,7.64,190.07,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000024,A549,Cancer,Hydrothermal,PEG_Coated,75.6,-34.0,4.82,24,99.03,2.65,0.0,0.63,0.1,1.0,1.25,1.19,51.87,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000025,HeLa,Cancer,Chemical_Precipitation,PEG_Coated,46.9,8.1,35.78,72,49.67,16.65,24.56,39.77,0.85,5.27,1.77,37.1,36.64,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000026,PBMCs,Normal,Hydrothermal,Silica_Coated,46.1,10.0,21.95,48,80.32,9.3,8.5,11.25,0.1,2.87,1.0,10.97,47.78,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000027,NIH-3T3,Normal,Green_Synthesis,PEG_Coated,16.9,22.0,12.09,12,96.4,3.34,1.5,3.54,0.27,1.0,1.0,1.74,134.63,Low,ISO-Pass (Viable >=70%)
