Experiment_ID,Cell_Line,Concentration,Exposure_Time,ROS,LDH,Apoptosis,Cell_Viability,Toxicity_Score,IC50,Safe_Range
EXP-ZNO-00001,Caco-2,190.17,48,70.33,62.06,63.42,11.75,73.16,39.23,0 - 17.65
EXP-ZNO-00002,HepG2,194.0,72,86.96,73.19,68.43,5.0,90.44,28.59,0 - 12.87
EXP-ZNO-00003,PC12,86.67,72,89.54,77.92,73.04,6.65,100.31,27.23,0 - 12.25
EXP-ZNO-00004,A549,103.09,48,87.06,72.4,72.46,15.08,97.92,29.81,0 - 13.42
EXP-ZNO-00005,Caco-2,189.8,12,66.13,66.96,56.4,15.12,70.46,63.73,0 - 28.68
EXP-ZNO-00006,A549,52.13,6,53.71,53.26,44.21,51.63,59.46,61.73,0 - 27.78
EXP-ZNO-00007,HepG2,193.93,72,78.71,67.47,70.46,7.29,86.93,28.59,0 - 12.87
EXP-ZNO-00008,PC12,56.55,6,48.14,44.04,41.87,51.3,53.89,64.98,0 - 29.24
EXP-ZNO-00009,A549,154.37,24,88.01,86.83,76.91,7.8,105.92,38.0,0 - 17.1
EXP-ZNO-00010,CHO,146.06,72,67.06,54.49,54.02,13.89,65.47,37.44,0 - 16.85
EXP-ZNO-00011,A549,144.49,6,81.9,69.41,68.39,19.12,92.99,61.73,0 - 27.78
EXP-ZNO-00012,HeLa,112.87,48,77.37,69.83,69.18,10.97,80.84,35.31,0 - 15.89
EXP-ZNO-00013,HEK293,15.86,72,19.23,14.89,11.23,78.45,15.76,40.85,0 - 18.38
EXP-ZNO-00014,PC12,71.58,48,80.87,65.01,62.03,19.15,87.0,31.38,0 - 14.12
EXP-ZNO-00015,HepG2,83.77,24,69.06,58.76,56.03,24.65,72.14,42.0,0 - 18.9
EXP-ZNO-00016,Jurkat,73.04,48,83.2,75.56,71.05,18.65,103.1,23.54,0 - 10.59
EXP-ZNO-00017,HeLa,122.11,24,71.37,60.38,55.48,18.28,72.51,45.0,0 - 20.25
EXP-ZNO-00018,PC12,16.63,48,28.61,27.12,29.96,68.0,34.83,31.38,0 - 14.12
EXP-ZNO-00019,MCF-7,163.38,24,100.0,84.72,77.56,9.93,111.72,35.0,0 - 15.75
EXP-ZNO-00020,HEK293,142.37,24,64.74,54.75,42.3,16.46,58.88,60.0,0 - 27.0
EXP-ZNO-00021,CHO,135.3,6,55.27,43.55,37.47,37.54,48.99,89.35,0 - 40.21
EXP-ZNO-00022,Jurkat,106.17,48,100.0,84.62,87.26,8.04,119.29,23.54,0 - 10.59
EXP-ZNO-00023,A549,145.33,24,89.01,80.71,73.08,13.62,100.87,38.0,0 - 17.1
EXP-ZNO-00024,HepG2,130.57,24,68.24,60.95,55.95,19.26,75.13,42.0,0 - 18.9
EXP-ZNO-00025,HEK293,131.69,24,49.1,45.46,47.58,24.46,52.31,60.0,0 - 27.0
EXP-ZNO-00026,MCF-7,100.78,72,100.0,87.91,77.44,8.56,113.15,23.83,0 - 10.72
EXP-ZNO-00027,A549,5.35,48,5.32,7.98,6.54,93.91,7.54,29.81,0 - 13.42
EXP-ZNO-00028,A549,170.68,48,90.84,83.94,82.37,5.0,108.74,29.81,0 - 13.42
EXP-ZNO-00029,MCF-7,79.24,6,56.9,49.63,52.32,43.23,68.82,56.86,0 - 25.59
EXP-ZNO-00030,Jurkat,141.93,24,100.0,87.19,84.92,5.0,121.31,30.0,0 - 13.5
EXP-ZNO-00031,CHO,16.78,72,11.57,22.72,11.07,76.71,17.12,37.44,0 - 16.85
EXP-ZNO-00032,PC12,167.87,72,95.25,74.97,77.75,5.0,102.88,27.23,0 - 12.25
EXP-ZNO-00033,CHO,54.67,72,46.49,43.94,44.57,37.18,48.59,37.44,0 - 16.85
EXP-ZNO-00034,CHO,26.98,48,23.74,28.24,19.85,66.43,25.87,43.15,0 - 19.42
EXP-ZNO-00035,PC12,37.27,72,61.99,56.54,51.91,35.08,70.29,27.23,0 - 12.25
EXP-ZNO-00036,HepG2,132.21,6,73.07,54.0,60.27,25.53,72.44,68.23,0 - 30.7
EXP-ZNO-00037,PC12,151.69,24,81.82,75.26,60.71,12.5,92.59,40.0,0 - 18.0
EXP-ZNO-00038,HeLa,80.0,72,68.73,55.52,50.84,25.37,67.02,30.64,0 - 13.79
EXP-ZNO-00039,PC12,100.88,24,76.52,68.45,65.63,20.89,86.22,40.0,0 - 18.0
EXP-ZNO-00040,CHO,77.94,48,65.37,52.63,47.09,25.59,58.71,43.15,0 - 19.42
EXP-ZNO-00041,A549,192.26,6,89.51,74.23,68.93,15.72,97.82,61.73,0 - 27.78
EXP-ZNO-00042,NIH-3T3,125.97,12,46.11,36.43,38.69,35.61,42.15,82.85,0 - 37.28
EXP-ZNO-00043,PC12,150.25,72,90.14,85.96,81.09,5.05,104.14,27.23,0 - 12.25
EXP-ZNO-00044,Jurkat,21.07,24,44.31,33.98,36.27,63.27,49.09,30.0,0 - 13.5
EXP-ZNO-00045,A549,11.17,6,5.3,12.47,2.46,94.02,7.55,61.73,0 - 27.78
EXP-ZNO-00046,NIH-3T3,120.69,24,54.07,53.11,44.85,22.07,51.58,65.0,0 - 29.25
EXP-ZNO-00047,Jurkat,167.47,12,95.11,87.66,85.72,8.72,117.87,38.24,0 - 17.21
EXP-ZNO-00048,MCF-7,102.91,72,88.97,84.68,77.52,10.76,108.43,23.83,0 - 10.72
EXP-ZNO-00049,HEK293,75.56,48,41.68,37.83,33.27,40.64,41.38,47.08,0 - 21.18
EXP-ZNO-00050,CHO,164.65,72,72.17,57.79,51.44,11.58,67.53,37.44,0 - 16.85
EXP-ZNO-00051,HeLa,173.79,6,68.74,57.6,56.36,19.59,71.05,73.1,0 - 32.9
EXP-ZNO-00052,Jurkat,139.3,6,82.87,78.88,71.32,22.23,101.39,48.74,0 - 21.93
EXP-ZNO-00053,Jurkat,56.55,24,85.13,75.98,66.5,19.92,101.97,30.0,0 - 13.5
EXP-ZNO-00054,MCF-7,16.01,48,38.71,30.86,23.97,70.63,38.31,27.46,0 - 12.36
EXP-ZNO-00055,A549,188.14,72,97.47,89.13,78.87,5.0,110.63,25.87,0 - 11.64
EXP-ZNO-00056,HepG2,96.33,6,63.04,51.46,50.88,35.8,63.06,68.23,0 - 30.7
EXP-ZNO-00057,HeLa,7.85,12,11.18,4.87,4.31,94.56,6.33,57.36,0 - 25.81
EXP-ZNO-00058,NIH-3T3,151.54,72,61.37,54.1,50.3,6.0,59.95,44.25,0 - 19.91
EXP-ZNO-00059,HEK293,134.5,6,42.06,33.32,38.2,43.62,40.23,97.47,0 - 43.86
EXP-ZNO-00060,MCF-7,163.37,48,100.0,78.3,79.64,6.74,112.9,27.46,0 - 12.36
EXP-ZNO-00061,NIH-3T3,128.05,72,64.11,55.34,44.88,15.2,56.2,44.25,0 - 19.91
EXP-ZNO-00062,MCF-7,109.72,48,92.4,82.66,70.78,12.65,106.46,27.46,0 - 12.36
EXP-ZNO-00063,HeLa,159.4,72,81.26,69.57,63.06,5.0,83.65,30.64,0 - 13.79
EXP-ZNO-00064,A549,92.29,6,78.32,60.63,61.24,29.1,83.27,61.73,0 - 27.78
EXP-ZNO-00065,HEK293,179.41,6,54.08,47.63,43.56,22.67,53.69,97.47,0 - 43.86
EXP-ZNO-00066,NIH-3T3,107.12,6,31.35,27.36,24.31,52.21,30.33,105.59,0 - 47.52
EXP-ZNO-00067,Jurkat,159.98,12,97.59,85.73,82.58,11.28,115.86,38.24,0 - 17.21
EXP-ZNO-00068,HEK293,152.11,12,51.75,46.17,39.43,29.77,49.56,76.47,0 - 34.41
EXP-ZNO-00069,Caco-2,106.66,24,58.3,57.83,51.04,19.84,64.67,50.0,0 - 22.5
EXP-ZNO-00070,PC12,168.22,6,73.37,65.37,59.73,21.36,83.67,64.98,0 - 29.24
EXP-ZNO-00071,Jurkat,71.34,48,91.63,77.28,76.57,22.73,104.05,23.54,0 - 10.59
EXP-ZNO-00072,A549,57.11,12,48.32,40.56,46.93,47.49,58.85,48.43,0 - 21.79
EXP-ZNO-00073,HepG2,186.77,72,87.98,75.32,75.21,5.0,92.06,28.59,0 - 12.87
EXP-ZNO-00074,Jurkat,111.57,12,100.0,85.83,83.98,9.59,117.88,38.24,0 - 17.21
EXP-ZNO-00075,HepG2,85.37,48,70.89,58.46,59.44,21.74,74.54,32.95,0 - 14.83
EXP-ZNO-00076,HEK293,106.75,72,55.49,48.29,49.32,20.94,55.48,40.85,0 - 18.38
EXP-ZNO-00077,NIH-3T3,152.17,6,30.17,29.25,31.19,45.22,33.99,105.59,0 - 47.52
EXP-ZNO-00078,A549,185.33,24,94.57,84.36,78.16,9.23,106.41,38.0,0 - 17.1
EXP-ZNO-00079,A549,37.69,72,70.27,65.1,63.9,30.03,82.07,25.87,0 - 11.64
EXP-ZNO-00080,CHO,125.01,24,73.82,53.29,58.81,11.4,68.29,55.0,0 - 24.75
EXP-ZNO-00081,Caco-2,108.94,12,48.93,52.4,46.18,32.08,55.61,63.73,0 - 28.68
EXP-ZNO-00082,HeLa,148.42,48,78.16,63.66,62.2,12.8,78.11,35.31,0 - 15.89
EXP-ZNO-00083,HEK293,152.61,12,56.84,44.06,41.29,28.45,50.95,76.47,0 - 34.41
EXP-ZNO-00084,MCF-7,128.41,24,99.24,78.24,71.81,13.66,106.91,35.0,0 - 15.75
